PD_Algorithm,Window,Injected_Fault,S_ARBC,S_DMI,S_EVC,S_HRBC,S_RTM
ILP,5,ARBC,8.028571428571428,0.5142857142857142,0.6571428571428571,1.6857142857142857,2.057142857142857
ILP,5,EVC,0.7647058823529411,0.5882352941176471,5.9411764705882355,0.9705882352941176,2.0294117647058822
ILP,5,HRBC,1.2777777777777777,0.5,0.5833333333333334,7.972222222222222,1.8055555555555556
ILP,5,RTM,1.162162162162162,0.7027027027027027,0.7297297297297297,0.8918918918918919,11.054054054054054
IM,5,ARBC,7.285714285714286,0.14285714285714285,0.8857142857142857,1.3142857142857143,1.1714285714285715
IM,5,EVC,0.6470588235294118,0.14705882352941177,5.9411764705882355,0.6470588235294118,0.8529411764705882
IM,5,HRBC,1.3888888888888888,0.1388888888888889,0.5277777777777778,8.222222222222221,0.8611111111111112
IM,5,RTM,1.0,0.2702702702702703,1.0,0.5405405405405406,10.108108108108109
ILP,10,ARBC,9.263157894736842,0.21052631578947367,0.42105263157894735,1.631578947368421,1.6842105263157894
ILP,10,EVC,0.631578947368421,0.3684210526315789,6.631578947368421,1.105263157894737,1.736842105263158
ILP,10,HRBC,0.8421052631578947,0.3684210526315789,0.3157894736842105,7.105263157894737,1.4736842105263157
ILP,10,RTM,0.7,0.25,0.6,0.85,12.85
IM,10,ARBC,8.421052631578947,0.0,0.7894736842105263,1.263157894736842,0.8947368421052632
IM,10,EVC,0.5263157894736842,0.0,6.368421052631579,0.8421052631578947,0.5263157894736842
IM,10,HRBC,0.5263157894736842,0.0,0.3684210526315789,7.684210526315789,0.5263157894736842
IM,10,RTM,0.5,0.0,0.6,0.7,11.65
ILP,15,ARBC,11.071428571428571,0.07142857142857142,0.5714285714285714,1.4285714285714286,1.7857142857142858
ILP,15,EVC,0.21428571428571427,0.14285714285714285,6.857142857142857,0.7857142857142857,1.4285714285714286
ILP,15,HRBC,0.5714285714285714,0.14285714285714285,0.21428571428571427,8.428571428571429,1.8571428571428572
ILP,15,RTM,0.14285714285714285,0.14285714285714285,0.2857142857142857,1.0714285714285714,13.0
IM,15,ARBC,9.642857142857142,0.0,1.0,1.0,1.2857142857142858
IM,15,EVC,0.35714285714285715,0.0,6.428571428571429,0.5,0.35714285714285715
IM,15,HRBC,0.2857142857142857,0.0,0.21428571428571427,9.071428571428571,0.5
IM,15,RTM,0.0,0.0,0.7142857142857143,0.6428571428571429,11.428571428571429
