ACCEPT_SESSION_ARBC,ACK_TAKEOVER_HRBC,APPLY_SUPERVISION_EVC,COORDINATE_MA_HRBC,DISPLAY_UPDATE_DMI,EMERGENCY_BRAKE_EVC,EVALUATE_FRONT_EVC,EVALUATE_REAR_EVC,EVALUATE_SESSION_REQ_ARBC,FORWARD_ANNOUNCEMENT_TO_ARBC_HRBC,PROCESS_COORDINATION_ARBC,PROCESS_MA_EVC,REJECT_SESSION_ARBC,REQ_SESSION_ARBC_RTM,RX_ARBC_GRANT_SUPERVISION_RTM,RX_HRBC_TERMINATION_ORDER_RTM,RX_HRBC_TRANSITION_ORDER_RTM,RX_POS_REPORT_ARBC,RX_POS_REPORT_HRBC,SESSION_ESTABLISHED_ARBC_RTM,SESSION_REJECTED_ARBC_RTM,TERMINATE_SESSION_HRBC_RTM,TX_GRANT_SUPERVISION_ARBC,TX_POS_REPORT_RTM,TX_TERMINATION_ORDER_HRBC,TX_TRANSITION_ORDER_HRBC,Fitness,Component
1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0.6666555556613747,ARBC
0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,2,1,0,0,0,3,1,0,0,0.7073063058228984,ARBC
0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.6666603175207855,ARBC
4,0,1,0,0,0,0,0,3,0,1,0,0,0,1,0,0,4,1,0,0,0,4,0,0,0,0.6274406767032286,ARBC
2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.7142693879105912,ARBC
0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0.6666603175207855,ARBC
3,0,1,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0.5853581202042917,ARBC
1,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.6774085328481751,ARBC
3,0,1,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0.7115299556540167,ARBC
1,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0.5714231293035305,ARBC
0,0,0,0,0,1,0,0,2,0,1,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0.5714231293035305,ARBC
2,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,6,1,0,0,0,2,1,0,0,0.5853532421793064,ARBC
2,0,1,2,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0.7333234074515225,ARBC
1,0,1,0,0,0,0,1,2,0,1,0,1,0,0,0,0,4,1,0,0,0,5,1,0,0,0.5609631172530866,ARBC
2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,7,0,0,0,0,1,0,0,0,0.7291552951862701,ARBC
2,0,1,0,0,0,0,1,2,0,2,0,1,0,1,0,0,3,1,0,0,0,2,1,0,0,0.5853532421793064,ARBC
1,0,0,0,0,0,0,0,4,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.6774085328481751,ARBC
0,1,1,0,0,0,0,0,1,1,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.7096631634634616,ARBC
1,0,1,2,0,0,0,0,4,0,0,0,0,0,1,0,0,5,0,0,0,0,4,0,0,0,0.660369206153939,ARBC
1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,6,0,0,0,1,4,0,0,0,0.6862639754353905,ARBC
1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,4,0,0,0,0,5,0,0,0,0.7142746356137322,ARBC
2,0,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.6774085328481751,ARBC
3,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.5714231293035305,ARBC
1,0,1,0,0,0,0,0,4,0,1,0,1,0,1,0,0,2,0,0,0,0,5,0,0,0,0.6734605164876878,ARBC
0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0.7884508136507167,ARBC
4,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0.5609679952780718,ARBC
2,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0.7254814687001228,ARBC
1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0.6666555556613747,ARBC
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8095065761278464,ARBC
2,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0.7857034014123743,ARBC
0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7307597633864356,ARBC
1,1,2,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0.677402081276895,ARBC
2,1,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0.6128928200463223,ARBC
1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.6666603175207855,ARBC
2,0,1,0,0,0,0,0,1,0,1,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0.7560865556753382,ARBC
2,0,0,0,0,0,0,1,1,0,3,0,1,0,0,0,0,3,1,0,0,0,3,1,0,0,0.6097433671055263,ARBC
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.7618927438786297,ARBC
2,1,1,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0.6341359310442388,ARBC
0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7916559028674761,ARBC
1,0,0,2,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.5714231293035305,ARBC
4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7419242456500281,ARBC
0,1,0,0,0,0,0,0,2,1,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.6774085328481751,ARBC
0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.6666603175207855,ARBC
0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.6666603175207855,ARBC
1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0.71152803258449,ARBC
2,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0.7631459834421924,ARBC
0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0.7254795079234984,ARBC
2,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.7096631634634616,ARBC
