PD_Algorithm,Window,Injected_Fault,S_ARBC,S_DMI,S_EVC,S_HRBC,S_RTM
ILP,5,ARBC,8.257142857142858,0.34285714285714286,0.5714285714285714,1.6,2.0285714285714285
ILP,5,EVC,0.7352941176470589,0.5,5.147058823529412,1.2058823529411764,2.176470588235294
ILP,5,HRBC,0.9722222222222222,0.3888888888888889,0.5833333333333334,7.527777777777778,1.9444444444444444
ILP,5,RTM,0.9166666666666666,0.6111111111111112,0.6111111111111112,1.4166666666666667,9.527777777777779
IM,5,ARBC,7.857142857142857,0.08571428571428572,0.6,1.1142857142857143,0.8571428571428571
IM,5,EVC,0.4411764705882353,0.11764705882352941,5.147058823529412,0.6470588235294118,1.0294117647058822
IM,5,HRBC,0.6944444444444444,0.0,0.5833333333333334,7.75,0.7777777777777778
IM,5,RTM,0.6388888888888888,0.1388888888888889,0.8333333333333334,0.6388888888888888,8.222222222222221
ILP,10,ARBC,8.526315789473685,0.5263157894736842,0.5789473684210527,0.8421052631578947,1.263157894736842
ILP,10,EVC,0.8421052631578947,0.631578947368421,6.578947368421052,0.42105263157894735,1.368421052631579
ILP,10,HRBC,0.75,0.5,0.45,8.3,2.05
ILP,10,RTM,0.65,0.2,0.3,1.15,12.9
IM,10,ARBC,7.473684210526316,0.0,0.7894736842105263,0.7368421052631579,0.8947368421052632
IM,10,EVC,0.3157894736842105,0.05263157894736842,6.7894736842105265,0.3157894736842105,0.6842105263157895
IM,10,HRBC,0.75,0.05,0.45,8.35,0.85
IM,10,RTM,0.65,0.0,0.4,0.9,11.1
ILP,15,ARBC,9.285714285714286,0.14285714285714285,0.5,2.0714285714285716,2.142857142857143
ILP,15,EVC,0.0,0.07142857142857142,8.071428571428571,0.9285714285714286,1.5714285714285714
ILP,15,HRBC,0.7142857142857143,0.42857142857142855,0.5714285714285714,8.5,2.0714285714285716
ILP,15,RTM,0.07142857142857142,0.14285714285714285,0.14285714285714285,1.0,13.785714285714286
IM,15,ARBC,8.142857142857142,0.0,0.8571428571428571,1.5,1.2857142857142858
IM,15,EVC,0.0,0.0,7.928571428571429,0.5,0.42857142857142855
IM,15,HRBC,0.42857142857142855,0.0,0.5714285714285714,8.428571428571429,0.5714285714285714
IM,15,RTM,0.07142857142857142,0.0,0.14285714285714285,0.6428571428571429,11.928571428571429
