Window,PD_Algorithm,Clustering_Algorithm,N_Clusters,Accuracy,V_Measure
5,ILP,BIRCH,10,0.67,0.5
5,ILP,BIRCH,30,0.8,0.47
5,ILP,BIRCH,50,0.86,0.49
5,ILP,HDBSCAN,Auto,0.82,0.58
5,ILP,K-Means,10,0.83,0.59
5,ILP,K-Means,30,0.84,0.48
5,ILP,K-Means,50,0.91,0.5
5,ILP,Spectral,10,0.73,0.56
5,ILP,Spectral,30,0.79,0.48
5,ILP,Spectral,50,0.8,0.45
5,ILP,WARD,10,0.7,0.53
5,ILP,WARD,30,0.86,0.52
5,ILP,WARD,50,0.86,0.5
5,IM,BIRCH,10,0.86,0.59
5,IM,BIRCH,30,0.88,0.51
5,IM,BIRCH,50,0.86,0.49
5,IM,HDBSCAN,Auto,0.87,0.65
5,IM,K-Means,10,0.9,0.63
5,IM,K-Means,30,0.91,0.53
5,IM,K-Means,50,0.91,0.49
5,IM,Spectral,10,0.46,0.36
5,IM,Spectral,30,0.75,0.44
5,IM,Spectral,50,0.9,0.51
5,IM,WARD,10,0.86,0.59
5,IM,WARD,30,0.86,0.51
5,IM,WARD,50,0.88,0.5
10,ILP,BIRCH,10,0.78,0.56
10,ILP,BIRCH,30,0.86,0.51
10,ILP,BIRCH,50,0.9,0.52
10,ILP,HDBSCAN,Auto,0.44,0.37
10,ILP,K-Means,10,0.88,0.67
10,ILP,K-Means,30,0.95,0.6
10,ILP,K-Means,50,0.95,0.57
10,ILP,Spectral,10,0.71,0.58
10,ILP,Spectral,30,0.81,0.55
10,ILP,Spectral,50,0.87,0.52
10,ILP,WARD,10,0.83,0.62
10,ILP,WARD,30,0.94,0.58
10,ILP,WARD,50,0.95,0.55
10,IM,BIRCH,10,0.85,0.61
10,IM,BIRCH,30,0.92,0.54
10,IM,BIRCH,50,0.92,0.52
10,IM,HDBSCAN,Auto,0.34,0.16
10,IM,K-Means,10,0.97,0.73
10,IM,K-Means,30,0.92,0.54
10,IM,K-Means,50,0.94,0.52
10,IM,Spectral,10,0.71,0.47
10,IM,Spectral,30,0.91,0.57
10,IM,Spectral,50,0.84,0.47
10,IM,WARD,10,0.89,0.64
10,IM,WARD,30,0.94,0.56
10,IM,WARD,50,0.94,0.52
15,ILP,BIRCH,10,0.98,0.78
15,ILP,BIRCH,30,0.98,0.66
15,ILP,BIRCH,50,0.98,0.58
15,ILP,HDBSCAN,Auto,0.98,0.85
15,ILP,K-Means,10,1.0,0.77
15,ILP,K-Means,30,0.96,0.6
15,ILP,K-Means,50,0.98,0.59
15,ILP,Spectral,10,0.93,0.75
15,ILP,Spectral,30,0.98,0.68
15,ILP,Spectral,50,0.96,0.61
15,ILP,WARD,10,1.0,0.78
15,ILP,WARD,30,1.0,0.65
15,ILP,WARD,50,0.96,0.57
15,IM,BIRCH,10,0.93,0.7
15,IM,BIRCH,30,0.96,0.62
15,IM,BIRCH,50,0.98,0.6
15,IM,HDBSCAN,Auto,0.98,0.95
15,IM,K-Means,10,0.95,0.73
15,IM,K-Means,30,1.0,0.64
15,IM,K-Means,50,0.98,0.58
15,IM,Spectral,10,0.82,0.76
15,IM,Spectral,30,0.88,0.61
15,IM,Spectral,50,0.98,0.62
15,IM,WARD,10,0.98,0.75
15,IM,WARD,30,0.98,0.64
15,IM,WARD,50,0.98,0.6
