ACCEPT_SESSION_ARBC,ACK_TAKEOVER_HRBC,APPLY_SUPERVISION_EVC,COORDINATE_MA_HRBC,DISPLAY_UPDATE_DMI,EMERGENCY_BRAKE_EVC,EVALUATE_FRONT_EVC,EVALUATE_REAR_EVC,EVALUATE_SESSION_REQ_ARBC,FORWARD_ANNOUNCEMENT_TO_ARBC_HRBC,PROCESS_COORDINATION_ARBC,PROCESS_MA_EVC,REJECT_SESSION_ARBC,REQ_SESSION_ARBC_RTM,RX_ARBC_GRANT_SUPERVISION_RTM,RX_HRBC_TERMINATION_ORDER_RTM,RX_HRBC_TRANSITION_ORDER_RTM,RX_POS_REPORT_ARBC,RX_POS_REPORT_HRBC,SESSION_ESTABLISHED_ARBC_RTM,SESSION_REJECTED_ARBC_RTM,TERMINATE_SESSION_HRBC_RTM,TX_GRANT_SUPERVISION_ARBC,TX_POS_REPORT_RTM,TX_TERMINATION_ORDER_HRBC,TX_TRANSITION_ORDER_HRBC,Fitness,Component
0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8333298611255786,ARBC
1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,3,1,0,0,1,6,1,1,0,0.5135121256429036,ARBC
0,0,0,0,1,1,0,0,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.6363607438148009,ARBC
1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,2,0,0,0,1,1,0,1,0,0.6296272976766752,ARBC
2,0,0,0,1,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.5454520661269722,ARBC
0,0,0,0,2,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0.47058546714431093,ARBC
3,0,0,0,0,0,0,0,2,0,4,0,0,0,0,1,0,4,0,0,0,1,1,0,0,0,0.6923063609493059,ARBC
2,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0.6562479492251587,ARBC
0,0,0,0,0,0,0,0,4,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7096751300802255,ARBC
3,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,4,0,0,0,1,5,0,0,0,0.6538448964521222,ARBC
1,1,1,0,0,0,0,1,4,0,4,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0.5238082766469604,ARBC
0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.5882318339303887,ARBC
3,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,0,4,1,0,0,1,6,1,1,0,0.4523798752860112,ARBC
1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,4,0,0,0,0,4,0,0,0,0.7391288279808088,ARBC
0,0,0,0,2,1,0,0,1,0,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0.35293910035823317,ARBC
1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,1,0,4,0,0,0,1,2,0,1,0,0.531248339848938,ARBC
1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0.6296272976766752,ARBC
3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0.6296272976766752,ARBC
3,1,0,0,1,0,0,1,2,0,2,0,0,0,0,1,0,3,1,0,0,1,0,1,1,0,0.5714272108875931,ARBC
1,1,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,4,0,0,0,0,2,0,0,0,0.7291651475726093,ARBC
3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0.6562479492251587,ARBC
2,0,0,0,2,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.35293910035823317,ARBC
6,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0.6595730647381601,ARBC
3,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,4,1,0,0,1,2,1,1,0,0.5135121256429036,ARBC
0,0,0,0,1,1,0,0,1,0,4,0,1,0,0,0,0,0,0,1,1,0,3,0,0,0,0.5185165980866737,ARBC
0,0,0,0,1,1,0,0,4,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5925903978133414,ARBC
4,0,0,0,1,0,0,0,1,0,3,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0.4814796982233399,ARBC
