PD_Algorithm,Window,Injected_Fault,S_ARBC,S_DMI,S_EVC,S_HRBC,S_RTM
ILP,5,ARBC,7.514285714285714,0.6857142857142857,0.7142857142857143,2.0285714285714285,2.2285714285714286
ILP,5,EVC,0.9411764705882353,0.7058823529411765,5.470588235294118,0.8823529411764706,2.176470588235294
ILP,5,HRBC,1.2857142857142858,0.5428571428571428,0.5714285714285714,7.057142857142857,2.085714285714286
ILP,5,RTM,0.7428571428571429,0.6,0.7142857142857143,1.1142857142857143,11.2
IM,5,ARBC,6.771428571428571,0.2,0.9714285714285714,1.6571428571428573,1.2
IM,5,EVC,0.7647058823529411,0.20588235294117646,5.5,0.5882352941176471,1.1176470588235294
IM,5,HRBC,1.1142857142857143,0.11428571428571428,0.5714285714285714,7.114285714285714,0.8
IM,5,RTM,0.7428571428571429,0.11428571428571428,0.8,0.7428571428571429,9.628571428571428
ILP,10,ARBC,7.578947368421052,0.3684210526315789,0.631578947368421,2.210526315789474,1.9473684210526316
ILP,10,EVC,0.47368421052631576,0.2631578947368421,7.105263157894737,0.7894736842105263,1.4210526315789473
ILP,10,HRBC,0.9473684210526315,0.5789473684210527,0.5263157894736842,7.2105263157894735,1.5263157894736843
ILP,10,RTM,1.0526315789473684,0.42105263157894735,0.3684210526315789,0.7894736842105263,10.157894736842104
IM,10,ARBC,6.7368421052631575,0.0,0.8421052631578947,1.6842105263157894,0.7894736842105263
IM,10,EVC,0.3684210526315789,0.0,6.947368421052632,0.42105263157894735,0.6842105263157895
IM,10,HRBC,1.0526315789473684,0.0,0.42105263157894735,7.157894736842105,0.631578947368421
IM,10,RTM,0.8421052631578947,0.0,0.6842105263157895,0.5789473684210527,8.736842105263158
ILP,15,ARBC,10.357142857142858,0.14285714285714285,0.14285714285714285,1.5,1.1428571428571428
ILP,15,EVC,0.07692307692307693,0.23076923076923078,7.461538461538462,0.9230769230769231,1.0769230769230769
ILP,15,HRBC,0.5714285714285714,0.14285714285714285,0.14285714285714285,8.357142857142858,1.7142857142857142
ILP,15,RTM,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.5714285714285714,11.571428571428571
IM,15,ARBC,9.071428571428571,0.0,0.5714285714285714,1.1428571428571428,0.6428571428571429
IM,15,EVC,0.07692307692307693,0.0,7.153846153846154,0.46153846153846156,0.15384615384615385
IM,15,HRBC,0.5714285714285714,0.0,0.14285714285714285,8.0,0.2857142857142857
IM,15,RTM,0.0,0.0,0.5714285714285714,0.5714285714285714,10.0
