Window,PD_Algorithm,Clustering_Algorithm,N_Clusters,Accuracy,V_Measure
5,ILP,BIRCH,10,0.83,0.61
5,ILP,BIRCH,30,0.88,0.54
5,ILP,BIRCH,50,0.88,0.53
5,ILP,HDBSCAN,Auto,0.85,0.63
5,ILP,K-Means,10,0.82,0.58
5,ILP,K-Means,30,0.87,0.56
5,ILP,K-Means,50,0.92,0.53
5,ILP,Spectral,10,0.75,0.6
5,ILP,Spectral,30,0.78,0.52
5,ILP,Spectral,50,0.86,0.49
5,ILP,WARD,10,0.87,0.62
5,ILP,WARD,30,0.93,0.57
5,ILP,WARD,50,0.88,0.52
5,IM,BIRCH,10,0.75,0.54
5,IM,BIRCH,30,0.89,0.54
5,IM,BIRCH,50,0.93,0.54
5,IM,HDBSCAN,Auto,0.92,0.65
5,IM,K-Means,10,0.77,0.55
5,IM,K-Means,30,0.96,0.56
5,IM,K-Means,50,0.93,0.51
5,IM,Spectral,10,0.36,0.17
5,IM,Spectral,30,0.81,0.5
5,IM,Spectral,50,0.89,0.5
5,IM,WARD,10,0.81,0.58
5,IM,WARD,30,0.91,0.55
5,IM,WARD,50,0.88,0.53
10,ILP,BIRCH,10,0.88,0.64
10,ILP,BIRCH,30,0.91,0.56
10,ILP,BIRCH,50,0.96,0.55
10,ILP,HDBSCAN,Auto,0.57,0.44
10,ILP,K-Means,10,0.87,0.62
10,ILP,K-Means,30,0.89,0.56
10,ILP,K-Means,50,0.96,0.56
10,ILP,Spectral,10,0.74,0.59
10,ILP,Spectral,30,0.93,0.59
10,ILP,Spectral,50,0.97,0.57
10,ILP,WARD,10,0.91,0.65
10,ILP,WARD,30,0.89,0.56
10,ILP,WARD,50,0.96,0.56
10,IM,BIRCH,10,0.82,0.62
10,IM,BIRCH,30,0.89,0.55
10,IM,BIRCH,50,0.84,0.52
10,IM,HDBSCAN,Auto,0.93,0.67
10,IM,K-Means,10,0.87,0.66
10,IM,K-Means,30,0.91,0.57
10,IM,K-Means,50,0.93,0.54
10,IM,Spectral,10,0.72,0.53
10,IM,Spectral,30,0.89,0.57
10,IM,Spectral,50,0.93,0.54
10,IM,WARD,10,0.88,0.67
10,IM,WARD,30,0.92,0.58
10,IM,WARD,50,0.91,0.54
15,ILP,BIRCH,10,0.95,0.72
15,ILP,BIRCH,30,0.96,0.6
15,ILP,BIRCH,50,0.96,0.58
15,ILP,HDBSCAN,Auto,1.0,0.81
15,ILP,K-Means,10,0.95,0.72
15,ILP,K-Means,30,0.98,0.65
15,ILP,K-Means,50,0.98,0.57
15,ILP,Spectral,10,0.93,0.77
15,ILP,Spectral,30,0.92,0.67
15,ILP,Spectral,50,0.93,0.59
15,ILP,WARD,10,0.96,0.74
15,ILP,WARD,30,0.98,0.62
15,ILP,WARD,50,0.98,0.59
15,IM,BIRCH,10,0.93,0.69
15,IM,BIRCH,30,0.96,0.6
15,IM,BIRCH,50,0.96,0.56
15,IM,HDBSCAN,Auto,0.46,0.44
15,IM,K-Means,10,0.95,0.69
15,IM,K-Means,30,0.96,0.59
15,IM,K-Means,50,0.96,0.56
15,IM,Spectral,10,0.98,0.8
15,IM,Spectral,30,0.96,0.61
15,IM,Spectral,50,0.95,0.57
15,IM,WARD,10,0.98,0.74
15,IM,WARD,30,0.98,0.61
15,IM,WARD,50,0.96,0.55
