ACCEPT_SESSION_ARBC,ACK_TAKEOVER_HRBC,APPLY_SUPERVISION_EVC,COORDINATE_MA_HRBC,DISPLAY_UPDATE_DMI,EMERGENCY_BRAKE_EVC,EVALUATE_FRONT_EVC,EVALUATE_REAR_EVC,EVALUATE_SESSION_REQ_ARBC,FORWARD_ANNOUNCEMENT_TO_ARBC_HRBC,PROCESS_COORDINATION_ARBC,PROCESS_MA_EVC,REJECT_SESSION_ARBC,REQ_SESSION_ARBC_RTM,RX_ARBC_GRANT_SUPERVISION_RTM,RX_HRBC_TERMINATION_ORDER_RTM,RX_HRBC_TRANSITION_ORDER_RTM,RX_POS_REPORT_ARBC,RX_POS_REPORT_HRBC,SESSION_ESTABLISHED_ARBC_RTM,SESSION_REJECTED_ARBC_RTM,TERMINATE_SESSION_HRBC_RTM,TX_GRANT_SUPERVISION_ARBC,TX_POS_REPORT_RTM,TX_TERMINATION_ORDER_HRBC,TX_TRANSITION_ORDER_HRBC,Fitness,Component
2,0,0,0,0,0,0,1,1,0,1,0,2,0,1,1,0,6,1,0,0,1,2,1,1,0,0.499998809526644,ARBC
2,1,0,2,0,0,0,0,2,1,0,0,0,0,0,1,0,3,0,0,0,1,1,0,1,0,0.531248339848938,ARBC
1,0,0,0,1,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6363607438148009,ARBC
0,0,0,2,1,1,0,0,4,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0.5185165980866737,ARBC
2,1,1,0,1,0,0,0,4,1,0,0,0,0,1,1,0,0,0,0,0,1,5,0,1,0,0.5476177437672767,ARBC
0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0.703701097403343,ARBC
0,0,0,0,1,1,1,0,1,0,1,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0.5454520661269722,ARBC
1,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,3,0,0,0,0,6,0,0,0,0.67999864000272,ARBC
2,0,0,0,0,0,0,0,1,1,1,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0.6296272976766752,ARBC
1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0.7169797792834354,ARBC
5,0,0,0,1,1,0,0,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.5185165980866737,ARBC
1,1,0,2,0,0,0,0,2,1,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,0.5937481445370483,ARBC
2,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,0,2,1,0,0,1,3,1,1,0,0.5952366780079095,ARBC
1,0,0,2,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.5454520661269722,ARBC
1,0,0,0,0,0,0,1,4,0,1,0,1,0,1,1,0,2,1,0,0,1,5,1,1,0,0.499998809526644,ARBC
1,1,0,0,0,0,0,0,3,1,1,0,0,0,0,1,0,4,0,0,0,1,4,0,1,0,0.5135121256429036,ARBC
0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,7,1,0,0,1,4,1,1,0,0.5957434133118866,ARBC
0,0,0,2,2,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0.35293910035823317,ARBC
0,0,0,0,2,1,0,0,1,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.47058546714431093,ARBC
2,1,1,0,1,0,0,0,1,1,2,0,0,0,1,1,0,4,0,0,0,1,3,0,1,0,0.4594582176804928,ARBC
0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0.703701097403343,ARBC
0,0,0,0,2,1,0,0,2,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.47058546714431093,ARBC
2,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0.7619029478501241,ARBC
0,0,0,0,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.5882318339303887,ARBC
1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,0,6,0,0,0,1,5,0,0,0,0.6153834319549385,ARBC
0,0,0,0,2,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0.47058546714431093,ARBC
1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0.6296272976766752,ARBC
0,0,0,0,1,1,0,0,1,0,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.5454520661269722,ARBC
1,1,1,2,1,0,0,0,4,1,0,0,0,0,1,1,0,3,0,0,0,1,0,0,1,0,0.5135121256429036,ARBC
3,1,0,0,0,0,0,1,1,0,4,0,0,0,0,1,0,1,1,0,0,1,6,1,1,0,0.531913761885613,ARBC
0,0,0,0,1,1,0,0,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.6363607438148009,ARBC
2,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,0,3,1,0,0,1,4,1,1,0,0.5957434133118866,ARBC
1,1,0,0,0,0,0,1,2,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0.5624982421929932,ARBC
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0.7567547114737527,ARBC
0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7272694215026295,ARBC
2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0.703701097403343,ARBC
2,1,0,0,0,0,0,0,2,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0.5937481445370483,ARBC
3,1,0,0,0,0,0,0,1,1,4,0,0,0,1,1,0,1,0,0,0,1,6,0,1,0,0.499998809526644,ARBC
0,1,0,0,0,0,0,0,2,1,1,0,0,0,1,1,0,1,0,0,0,1,3,0,1,0,0.5937481445370483,ARBC
0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.5882318339303887,ARBC
1,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,4,0,0,0,0,5,0,0,0,0.6999986000028,ARBC
2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0.7547155571404582,ARBC
1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,1,0,4,0,0,0,1,0,0,1,0,0.5937481445370483,ARBC
2,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,7,0,0,0,0,1,0,0,0,0.7142842565627416,ARBC
2,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,7,1,0,0,1,1,1,1,0,0.499998809526644,ARBC
2,0,0,0,0,0,0,1,1,0,1,0,2,0,0,1,0,2,1,0,0,1,2,1,1,0,0.5675660336053145,ARBC
1,0,0,0,1,1,0,0,1,0,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.5454520661269722,ARBC
1,1,1,2,1,0,0,0,4,1,0,0,0,0,1,1,0,6,0,0,0,1,2,0,1,0,0.4523798752860112,ARBC
1,0,0,0,1,0,0,1,4,0,2,0,0,0,0,1,0,6,1,0,0,1,5,1,1,0,0.4680841104593394,ARBC
3,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.5454520661269722,ARBC
0,0,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.6363607438148009,ARBC
1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,6,0,0,0,1,4,0,0,0,0.6923063609493059,ARBC
2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0.7391288279808088,ARBC
2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,1,0,0,1,2,0,1,0,0.5555534979500076,ARBC
2,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0.73469237817882,ARBC
1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,1,0,6,1,0,0,1,4,1,1,0,0.5531903123610376,ARBC
1,0,0,0,0,0,0,0,4,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0.5937481445370483,ARBC
0,1,1,0,1,0,0,0,1,1,2,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0.5937481445370483,ARBC
1,1,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,4,0,0,0,1,5,0,1,0,0.617019963787311,ARBC
0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7999968000127999,ARBC
1,1,1,2,0,0,0,0,2,1,0,0,1,0,1,1,0,2,0,0,0,1,3,0,1,0,0.5135121256429036,ARBC
2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,5,1,0,0,1,5,1,1,0,0.5238082766469604,ARBC
0,0,0,0,2,1,0,0,1,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0.47058546714431093,ARBC
1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,1,0,1,1,0,0,1,1,1,1,0,0.5937481445370483,ARBC
1,0,0,0,0,0,0,0,4,0,1,0,1,0,0,1,0,3,0,0,0,1,6,0,1,0,0.5957434133118866,ARBC
1,1,0,0,0,0,0,0,4,1,1,0,1,0,0,1,0,1,0,0,0,1,5,0,1,0,0.5135121256429036,ARBC
0,0,0,0,2,1,0,0,1,0,1,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0.35293910035823317,ARBC
0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0.73469237817882,ARBC
2,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,4,0,0,0,1,1,0,1,0,0.531248339848938,ARBC
2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,3,1,0,0,1,3,0,1,0,0.6190461451282259,ARBC
0,0,0,2,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.6666641975400092,ARBC
0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0.5909064049708865,ARBC
2,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,5,0,0,0,0,3,0,0,0,0.71999856000288,ARBC
2,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,5,0,0,0,1,3,0,1,0,0.6382965142627356,ARBC
0,0,0,0,2,1,0,0,0,0,1,1,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0.35293910035823317,ARBC
1,0,0,0,2,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.47058546714431093,ARBC
0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7272694215026295,ARBC
2,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,2,1,0,0,1,2,1,1,0,0.59459298758652,ARBC
2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,2,1,0,0,1,6,1,1,0,0.5957434133118866,ARBC
0,0,0,2,2,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0.35293910035823317,ARBC
1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6363607438148009,ARBC
0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,7,1,0,0,1,3,1,1,0,0.5476177437672767,ARBC
1,0,0,0,2,1,0,0,1,0,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0.2352927335721554,ARBC
2,0,0,2,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.6296272976766752,ARBC
1,0,0,0,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6363607438148009,ARBC
2,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0.6296272976766752,ARBC
2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,2,0,0,0,1,2,0,0,0,0.7027008035113418,ARBC
2,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0,0,0,3,0,0,0,0.7083318576419633,ARBC
1,0,0,2,2,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.35293910035823317,ARBC
2,1,1,0,0,0,0,0,4,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0.6216199415677255,ARBC
0,0,0,0,2,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0.47058546714431093,ARBC
0,0,0,0,2,1,0,0,1,0,3,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0.2352927335721554,ARBC
1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,2,1,0,0,1,3,1,1,0,0.5624982421929932,ARBC
0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,3,1,0,0,1,3,1,1,0,0.5675660336053145,ARBC
0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,3,1,0,0,1,3,1,1,0,0.59459298758652,ARBC
2,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0.7674400757207541,ARBC
3,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.5925903978133414,ARBC
0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0.7619029478501241,ARBC
0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,6,0,0,0,1,3,0,0,0,0.6808496152135847,ARBC
0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.5882318339303887,ARBC
2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0.7692287968492388,ARBC
2,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0.5937481445370483,ARBC
1,0,0,0,2,1,0,0,1,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0.35293910035823317,ARBC
1,1,1,0,1,0,0,1,2,0,1,0,1,0,0,1,0,4,1,0,0,1,5,1,1,0,0.4523798752860112,ARBC
4,0,0,0,0,0,0,1,3,0,1,0,0,0,0,1,0,4,1,0,0,1,4,1,1,0,0.531913761885613,ARBC
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0.6818150826587153,ARBC
4,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0.6785702168388985,ARBC
1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6363607438148009,ARBC
0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.5882318339303887,ARBC
1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0.6666654321010517,ARBC
0,0,0,0,1,1,1,0,1,0,1,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0.5454520661269722,ARBC
1,0,0,0,2,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.47058546714431093,ARBC
1,0,0,0,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.5925903978133414,ARBC
0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0.7307678254464895,ARBC
2,1,0,0,0,0,0,0,1,1,1,0,2,0,0,1,0,3,0,0,0,1,1,0,1,0,0.531248339848938,ARBC
2,1,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,3,1,0,0,1,1,1,1,0,0.5675660336053145,ARBC
2,0,0,0,0,0,0,1,2,0,2,0,1,0,0,1,0,4,1,0,0,1,3,1,1,0,0.5238082766469604,ARBC
2,0,0,0,0,0,0,0,1,0,3,0,1,0,0,1,0,3,0,0,0,1,3,0,0,0,0.6808496152135847,ARBC
2,1,0,0,0,0,0,0,1,1,3,0,1,0,1,1,0,4,0,0,0,1,1,0,1,0,0.5135121256429036,ARBC
0,0,0,0,1,1,0,0,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.6363607438148009,ARBC
1,0,0,0,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0.5454520661269722,ARBC
1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,1,0,5,1,0,0,1,3,1,1,0,0.5476177437672767,ARBC
2,0,0,2,0,0,0,1,2,0,0,0,0,0,0,1,0,2,1,0,0,1,2,1,1,0,0.5675660336053145,ARBC
0,0,0,0,1,1,0,0,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0.6363607438148009,ARBC
