ACCEPT_SESSION_ARBC,ACK_TAKEOVER_HRBC,APPLY_SUPERVISION_EVC,COORDINATE_MA_HRBC,DISPLAY_UPDATE_DMI,EMERGENCY_BRAKE_EVC,EVALUATE_FRONT_EVC,EVALUATE_REAR_EVC,EVALUATE_SESSION_REQ_ARBC,FORWARD_ANNOUNCEMENT_TO_ARBC_HRBC,PROCESS_COORDINATION_ARBC,PROCESS_MA_EVC,REJECT_SESSION_ARBC,REQ_SESSION_ARBC_RTM,RX_ARBC_GRANT_SUPERVISION_RTM,RX_HRBC_TERMINATION_ORDER_RTM,RX_HRBC_TRANSITION_ORDER_RTM,RX_POS_REPORT_ARBC,RX_POS_REPORT_HRBC,SESSION_ESTABLISHED_ARBC_RTM,SESSION_REJECTED_ARBC_RTM,TERMINATE_SESSION_HRBC_RTM,TX_GRANT_SUPERVISION_ARBC,TX_POS_REPORT_RTM,TX_TERMINATION_ORDER_HRBC,TX_TRANSITION_ORDER_HRBC,Fitness,Component
2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,3,0,0,0,0.7499897727737601,ARBC
1,0,1,0,0,0,0,0,1,0,4,0,2,0,1,0,0,2,0,0,0,0,1,0,0,0,0.7045354339298457,ARBC
1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8076784024738272,ARBC
0,0,0,0,0,0,0,0,4,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699992000053333,ARBC
2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0.8139427258477867,ARBC
1,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,4,1,0,0,0,6,1,0,0,0.5609655562655792,ARBC
2,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0.7777676543659806,ARBC
1,0,1,0,0,0,0,0,1,0,3,0,1,0,1,0,0,3,1,0,0,0,0,1,0,0,0.682913741884186,ARBC
3,0,1,0,0,0,0,0,2,0,4,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0.7358406194693605,ARBC
1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0.7674289887023782,ARBC
1,0,1,0,0,0,0,0,4,0,2,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,0.7142766764217289,ARBC
2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8076784024738272,ARBC
2,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,2,1,0,0,0,1,0,0,0,0.7316939917366256,ARBC
1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0.7307559172621749,ARBC
1,0,1,0,0,0,0,0,4,0,4,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.7291573785109229,ARBC
1,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,1,1,0,0,0,7,1,0,0,0.609745806118019,ARBC
3,0,0,0,0,1,0,0,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6153798816932177,ARBC
1,0,1,0,0,0,0,0,1,0,4,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0.7333234074515225,ARBC
4,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.6153760355689571,ARBC
0,0,0,0,0,1,0,0,3,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6153798816932177,ARBC
3,0,1,0,0,0,0,0,2,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0.7646970011882306,ARBC
1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7727157025845219,ARBC
4,0,0,0,0,0,0,1,3,0,4,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.6341383700567313,ARBC
6,0,1,0,0,0,0,0,1,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0.7021182888583453,ARBC
1,0,1,0,0,0,0,0,0,0,1,2,1,0,1,0,0,4,0,0,0,0,5,0,0,0,0.6862659362120149,ARBC
1,0,1,0,0,0,0,0,1,0,3,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0.7608597353924549,ARBC
2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8076784024738272,ARBC
1,0,0,0,0,1,0,0,1,0,4,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0.5384573964815655,ARBC
6,0,1,0,0,0,0,1,1,0,3,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0.5853532421793064,ARBC
0,0,0,0,0,1,0,0,3,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6153798816932177,ARBC
0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8260754254310831,ARBC
1,1,1,0,0,0,0,0,4,1,2,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0.6341359310442388,ARBC
1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.7307559172621749,ARBC
1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0.7550907955477733,ARBC
1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7307559172621749,ARBC
1,0,0,0,0,0,0,1,1,0,3,0,1,0,0,0,0,4,1,0,0,0,2,1,0,0,0.6341310530192535,ARBC
3,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0.6341383700567313,ARBC
1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,1,0,0.731691552724133,ARBC
3,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0.6829186199091712,ARBC
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.8076784024738272,ARBC
2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,3,0,0,0,0.7316939917366256,ARBC
1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,4,1,0,0,0,4,0,0,0,0.6829113028716933,ARBC
3,0,1,0,0,0,0,0,1,0,4,0,0,0,1,0,0,3,0,0,0,0,4,0,0,0,0.6730685651209034,ARBC
4,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.7192887042501606,ARBC
1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0.6538334320505227,ARBC
1,0,0,0,0,0,0,1,1,0,3,0,0,0,1,0,0,8,1,0,0,0,1,1,0,0,0.5609655562655792,ARBC
2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0.7749886250568747,ARBC
1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0.7307559172621749,ARBC
2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0.7804742415890654,ARBC
1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.7307559172621749,ARBC
2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,2,1,0,0,0.6153760355689571,ARBC
4,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0.6964189413609236,ARBC
1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,1,0,0,0,5,1,0,0,0.6341334920317462,ARBC
0,0,0,0,0,1,0,0,4,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6153798816932177,ARBC
3,1,1,0,0,0,0,0,1,1,4,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,0.585355681191799,ARBC
1,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0.7316939917366256,ARBC
0,0,4,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.731691552724133,EVC
0,0,4,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7777654321536349,EVC
0,0,2,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813940400277208,EVC
0,0,4,0,0,0,3,2,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.6585260559704587,EVC
0,0,4,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8043356333233334,EVC
0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8846008876854794,EVC
0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.7692210059922616,EVC
0,0,5,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.7073038668104058,EVC
0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8076822485980877,EVC
0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8260754254310831,EVC
0,0,4,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7804718025765728,EVC
0,0,4,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7954418389007323,EVC
0,0,2,0,0,1,4,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.7073038668104058,EVC
0,0,7,0,0,0,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7192887042501606,EVC
0,0,5,0,0,0,3,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7358387326840277,EVC
0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8846008876854794,EVC
0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8076784024738272,EVC
0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.6922985207806094,EVC
0,0,2,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7804718025765728,EVC
0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8636239670548449,EVC
