PD_Algorithm,Window,Injected_Fault,S_ARBC,S_DMI,S_EVC,S_HRBC,S_RTM
ILP,5,ARBC,10.333333333333334,0.3611111111111111,0.5833333333333334,1.4166666666666667,1.9722222222222223
ILP,5,EVC,0.9411764705882353,0.8823529411764706,6.117647058823529,0.7352941176470589,1.8823529411764706
ILP,5,HRBC,0.9444444444444444,0.5277777777777778,0.5833333333333334,8.222222222222221,1.8888888888888888
ILP,5,RTM,1.3428571428571427,0.45714285714285713,0.6285714285714286,1.457142857142857,10.314285714285715
IM,5,ARBC,9.11111111111111,0.027777777777777776,1.0,0.6666666666666666,1.0277777777777777
IM,5,EVC,1.0,0.2647058823529412,6.0,0.4411764705882353,0.9705882352941176
IM,5,HRBC,0.9444444444444444,0.1111111111111111,0.6111111111111112,8.38888888888889,0.8611111111111112
IM,5,RTM,1.0,0.14285714285714285,0.7428571428571429,0.9714285714285714,8.82857142857143
ILP,10,ARBC,9.1,0.45,0.4,1.15,1.8
ILP,10,EVC,1.105263157894737,0.3157894736842105,5.842105263157895,1.0,1.894736842105263
ILP,10,HRBC,0.7368421052631579,0.15789473684210525,0.3684210526315789,8.578947368421053,1.8421052631578947
ILP,10,RTM,1.105263157894737,0.47368421052631576,0.631578947368421,1.2105263157894737,10.263157894736842
IM,10,ARBC,8.0,0.1,0.7,0.85,0.95
IM,10,EVC,0.47368421052631576,0.0,6.2631578947368425,0.5263157894736842,0.8421052631578947
IM,10,HRBC,0.8421052631578947,0.0,0.3684210526315789,8.631578947368421,0.5263157894736842
IM,10,RTM,1.0,0.0,0.631578947368421,0.9473684210526315,8.894736842105264
ILP,15,ARBC,9.928571428571429,0.21428571428571427,0.5,0.8571428571428571,1.2857142857142858
ILP,15,EVC,0.35714285714285715,0.35714285714285715,6.928571428571429,0.9285714285714286,1.3571428571428572
ILP,15,HRBC,0.5,0.07142857142857142,0.21428571428571427,8.928571428571429,1.6428571428571428
ILP,15,RTM,0.14285714285714285,0.14285714285714285,0.21428571428571427,1.0,14.285714285714286
IM,15,ARBC,9.357142857142858,0.0,0.7857142857142857,0.21428571428571427,0.8571428571428571
IM,15,EVC,0.21428571428571427,0.0,6.928571428571429,0.5,0.2857142857142857
IM,15,HRBC,0.6428571428571429,0.0,0.21428571428571427,9.285714285714286,0.5
IM,15,RTM,0.2857142857142857,0.0,0.21428571428571427,0.9285714285714286,12.285714285714286
