Window,PD_Algorithm,Clustering_Algorithm,N_Clusters,Accuracy,V_Measure
5,ILP,BIRCH,10,0.8,0.6
5,ILP,BIRCH,30,0.86,0.53
5,ILP,BIRCH,50,0.88,0.51
5,ILP,HDBSCAN,Auto,0.83,0.57
5,ILP,K-Means,10,0.83,0.61
5,ILP,K-Means,30,0.87,0.53
5,ILP,K-Means,50,0.86,0.5
5,ILP,Spectral,10,0.6,0.49
5,ILP,Spectral,30,0.77,0.51
5,ILP,Spectral,50,0.78,0.48
5,ILP,WARD,10,0.8,0.57
5,ILP,WARD,30,0.89,0.55
5,ILP,WARD,50,0.91,0.52
5,IM,BIRCH,10,0.87,0.65
5,IM,BIRCH,30,0.9,0.54
5,IM,BIRCH,50,0.9,0.51
5,IM,HDBSCAN,Auto,0.83,0.64
5,IM,K-Means,10,0.84,0.6
5,IM,K-Means,30,0.91,0.54
5,IM,K-Means,50,0.92,0.51
5,IM,Spectral,10,0.57,0.44
5,IM,Spectral,30,0.85,0.51
5,IM,Spectral,50,0.9,0.51
5,IM,WARD,10,0.81,0.6
5,IM,WARD,30,0.88,0.53
5,IM,WARD,50,0.92,0.52
10,ILP,BIRCH,10,0.88,0.69
10,ILP,BIRCH,30,0.99,0.62
10,ILP,BIRCH,50,0.99,0.57
10,ILP,HDBSCAN,Auto,0.54,0.43
10,ILP,K-Means,10,0.88,0.68
10,ILP,K-Means,30,0.96,0.57
10,ILP,K-Means,50,0.89,0.55
10,ILP,Spectral,10,0.87,0.69
10,ILP,Spectral,30,0.88,0.59
10,ILP,Spectral,50,0.91,0.56
10,ILP,WARD,10,1.0,0.78
10,ILP,WARD,30,0.99,0.62
10,ILP,WARD,50,0.99,0.57
10,IM,BIRCH,10,0.86,0.61
10,IM,BIRCH,30,0.92,0.56
10,IM,BIRCH,50,0.91,0.55
10,IM,HDBSCAN,Auto,0.84,0.61
10,IM,K-Means,10,0.88,0.64
10,IM,K-Means,30,0.95,0.58
10,IM,K-Means,50,0.95,0.55
10,IM,Spectral,10,0.67,0.56
10,IM,Spectral,30,0.93,0.61
10,IM,Spectral,50,0.93,0.58
10,IM,WARD,10,0.88,0.64
10,IM,WARD,30,0.93,0.57
10,IM,WARD,50,0.96,0.56
15,ILP,BIRCH,10,0.96,0.74
15,ILP,BIRCH,30,0.96,0.6
15,ILP,BIRCH,50,0.96,0.57
15,ILP,HDBSCAN,Auto,0.98,0.92
15,ILP,K-Means,10,1.0,0.78
15,ILP,K-Means,30,0.98,0.62
15,ILP,K-Means,50,0.98,0.58
15,ILP,Spectral,10,0.98,0.83
15,ILP,Spectral,30,0.96,0.62
15,ILP,Spectral,50,0.96,0.57
15,ILP,WARD,10,1.0,0.77
15,ILP,WARD,30,0.96,0.59
15,ILP,WARD,50,0.98,0.57
15,IM,BIRCH,10,0.96,0.72
15,IM,BIRCH,30,0.96,0.59
15,IM,BIRCH,50,0.96,0.56
15,IM,HDBSCAN,Auto,0.96,0.91
15,IM,K-Means,10,1.0,0.79
15,IM,K-Means,30,0.98,0.62
15,IM,K-Means,50,0.98,0.57
15,IM,Spectral,10,0.95,0.77
15,IM,Spectral,30,0.96,0.66
15,IM,Spectral,50,1.0,0.62
15,IM,WARD,10,1.0,0.77
15,IM,WARD,30,0.98,0.61
15,IM,WARD,50,0.96,0.55
