PD_Algorithm,Window,Injected_Fault,S_ARBC,S_DMI,S_EVC,S_HRBC,S_RTM
ILP,5,ARBC,8.166666666666666,0.4166666666666667,0.4166666666666667,1.4166666666666667,1.6666666666666667
ILP,5,EVC,0.5833333333333334,0.6944444444444444,6.694444444444445,0.9722222222222222,1.9166666666666667
ILP,5,HRBC,0.9705882352941176,0.47058823529411764,0.5882352941176471,6.352941176470588,2.1176470588235294
ILP,5,RTM,0.8857142857142857,0.6,0.6,0.7714285714285715,10.685714285714285
IM,5,ARBC,7.666666666666667,0.08333333333333333,0.5833333333333334,0.8333333333333334,0.8055555555555556
IM,5,EVC,0.4722222222222222,0.16666666666666666,6.638888888888889,0.5277777777777778,0.8611111111111112
IM,5,HRBC,1.2058823529411764,0.11764705882352941,0.5294117647058824,6.147058823529412,0.8823529411764706
IM,5,RTM,0.9428571428571428,0.17142857142857143,0.6857142857142857,0.5714285714285714,9.371428571428572
ILP,10,ARBC,8.68421052631579,0.3684210526315789,0.5789473684210527,1.6842105263157894,1.631578947368421
ILP,10,EVC,0.5,0.35,8.45,1.15,1.8
ILP,10,HRBC,0.8888888888888888,0.2777777777777778,0.5,8.222222222222221,1.6111111111111112
ILP,10,RTM,0.9473684210526315,0.21052631578947367,0.5789473684210527,0.9473684210526315,12.263157894736842
IM,10,ARBC,8.263157894736842,0.0,0.6842105263157895,1.0526315789473684,0.7894736842105263
IM,10,EVC,0.2,0.0,8.55,0.65,0.6
IM,10,HRBC,1.0,0.05555555555555555,0.5,8.11111111111111,0.5
IM,10,RTM,0.9473684210526315,0.0,0.631578947368421,0.7368421052631579,10.578947368421053
ILP,15,ARBC,10.461538461538462,0.23076923076923078,0.46153846153846156,2.0,1.7692307692307692
ILP,15,EVC,0.4,0.3333333333333333,7.466666666666667,0.6666666666666666,1.4666666666666666
ILP,15,HRBC,0.8461538461538461,0.07692307692307693,0.07692307692307693,7.538461538461538,1.6153846153846154
ILP,15,RTM,0.14285714285714285,0.0,0.0,1.4285714285714286,12.357142857142858
IM,15,ARBC,9.384615384615385,0.0,0.7692307692307693,1.5384615384615385,0.7692307692307693
IM,15,EVC,0.0,0.0,7.333333333333333,0.4666666666666667,0.3333333333333333
IM,15,HRBC,0.6923076923076923,0.0,0.07692307692307693,8.0,0.38461538461538464
IM,15,RTM,0.2857142857142857,0.0,0.07142857142857142,0.9285714285714286,10.714285714285714
