Window,PD_Algorithm,Clustering_Algorithm,N_Clusters,Accuracy,V_Measure
5,ILP,BIRCH,10,0.79,0.57
5,ILP,BIRCH,30,0.92,0.55
5,ILP,BIRCH,50,0.92,0.51
5,ILP,HDBSCAN,Auto,0.7,0.51
5,ILP,K-Means,10,0.87,0.61
5,ILP,K-Means,30,0.86,0.51
5,ILP,K-Means,50,0.89,0.48
5,ILP,Spectral,10,0.78,0.58
5,ILP,Spectral,30,0.75,0.47
5,ILP,Spectral,50,0.79,0.49
5,ILP,WARD,10,0.78,0.57
5,ILP,WARD,30,0.87,0.53
5,ILP,WARD,50,0.91,0.49
5,IM,BIRCH,10,0.85,0.58
5,IM,BIRCH,30,0.89,0.52
5,IM,BIRCH,50,0.86,0.48
5,IM,HDBSCAN,Auto,0.81,0.57
5,IM,K-Means,10,0.8,0.58
5,IM,K-Means,30,0.86,0.51
5,IM,K-Means,50,0.91,0.5
5,IM,Spectral,10,0.39,0.29
5,IM,Spectral,30,0.8,0.53
5,IM,Spectral,50,0.81,0.48
5,IM,WARD,10,0.83,0.57
5,IM,WARD,30,0.89,0.51
5,IM,WARD,50,0.9,0.49
10,ILP,BIRCH,10,0.88,0.63
10,ILP,BIRCH,30,0.94,0.58
10,ILP,BIRCH,50,0.95,0.54
10,ILP,HDBSCAN,Auto,0.9,0.69
10,ILP,K-Means,10,0.92,0.67
10,ILP,K-Means,30,0.88,0.55
10,ILP,K-Means,50,0.93,0.56
10,ILP,Spectral,10,0.84,0.66
10,ILP,Spectral,30,0.84,0.55
10,ILP,Spectral,50,0.87,0.57
10,ILP,WARD,10,0.88,0.66
10,ILP,WARD,30,0.95,0.58
10,ILP,WARD,50,0.95,0.55
10,IM,BIRCH,10,0.88,0.63
10,IM,BIRCH,30,0.91,0.57
10,IM,BIRCH,50,0.91,0.52
10,IM,HDBSCAN,Auto,0.9,0.66
10,IM,K-Means,10,0.95,0.69
10,IM,K-Means,30,0.94,0.58
10,IM,K-Means,50,0.96,0.55
10,IM,Spectral,10,0.66,0.48
10,IM,Spectral,30,0.91,0.56
10,IM,Spectral,50,0.93,0.53
10,IM,WARD,10,0.95,0.69
10,IM,WARD,30,0.91,0.53
10,IM,WARD,50,0.96,0.55
15,ILP,BIRCH,10,0.91,0.69
15,ILP,BIRCH,30,0.91,0.62
15,ILP,BIRCH,50,0.94,0.59
15,ILP,HDBSCAN,Auto,0.67,0.66
15,ILP,K-Means,10,0.98,0.76
15,ILP,K-Means,30,0.98,0.61
15,ILP,K-Means,50,0.92,0.58
15,ILP,Spectral,10,0.91,0.74
15,ILP,Spectral,30,0.96,0.65
15,ILP,Spectral,50,0.98,0.61
15,ILP,WARD,10,0.96,0.74
15,ILP,WARD,30,0.98,0.66
15,ILP,WARD,50,0.96,0.61
15,IM,BIRCH,10,0.98,0.76
15,IM,BIRCH,30,0.98,0.61
15,IM,BIRCH,50,0.98,0.58
15,IM,HDBSCAN,Auto,0.73,0.6
15,IM,K-Means,10,0.98,0.75
15,IM,K-Means,30,0.94,0.59
15,IM,K-Means,50,0.96,0.56
15,IM,Spectral,10,0.72,0.52
15,IM,Spectral,30,0.98,0.67
15,IM,Spectral,50,0.98,0.62
15,IM,WARD,10,0.96,0.71
15,IM,WARD,30,0.96,0.6
15,IM,WARD,50,0.96,0.58
