ACCEPT_SESSION_ARBC,ACK_TAKEOVER_HRBC,APPLY_SUPERVISION_EVC,COORDINATE_MA_HRBC,DISPLAY_UPDATE_DMI,EMERGENCY_BRAKE_EVC,EVALUATE_FRONT_EVC,EVALUATE_REAR_EVC,EVALUATE_SESSION_REQ_ARBC,FORWARD_ANNOUNCEMENT_TO_ARBC_HRBC,PROCESS_COORDINATION_ARBC,PROCESS_MA_EVC,REJECT_SESSION_ARBC,REQ_SESSION_ARBC_RTM,RX_ARBC_GRANT_SUPERVISION_RTM,RX_HRBC_TERMINATION_ORDER_RTM,RX_HRBC_TRANSITION_ORDER_RTM,RX_POS_REPORT_ARBC,RX_POS_REPORT_HRBC,SESSION_ESTABLISHED_ARBC_RTM,SESSION_REJECTED_ARBC_RTM,TERMINATE_SESSION_HRBC_RTM,TX_GRANT_SUPERVISION_ARBC,TX_POS_REPORT_RTM,TX_TERMINATION_ORDER_HRBC,TX_TRANSITION_ORDER_HRBC,Fitness,Component
0,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0.7560865556753382,ARBC
3,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.6153798816932177,ARBC
0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0.7254795079234984,ARBC
0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7307597633864356,ARBC
1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0.7307559172621749,ARBC
0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,2,1,0,0,0,3,1,0,0,0.7073063058228984,ARBC
0,0,0,2,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.6538372781747832,ARBC
0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0.7884508136507167,ARBC
1,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7307559172621749,ARBC
2,1,1,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0.6341359310442388,ARBC
2,0,1,2,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0.7333234074515225,ARBC
2,0,1,2,0,0,0,0,2,0,0,0,1,0,1,0,0,3,0,0,0,0,2,0,0,0,0.7021182888583453,ARBC
1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0.71152803258449,ARBC
0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7916559028674761,ARBC
0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8399892800857593,ARBC
2,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0.7291552951862701,ARBC
4,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.6153760355689571,ARBC
1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,4,0,0,0,0,5,0,0,0,0.7142746356137322,ARBC
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0.770821788242549,ARBC
3,0,1,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0.5853581202042917,ARBC
2,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0.7560865556753382,ARBC
2,0,0,0,0,0,0,1,1,0,3,0,1,0,0,0,0,3,1,0,0,0,3,1,0,0,0.6097433671055263,ARBC
